Name,Date,Total Concentration,Viable Concentration,Dead Concentration,Total Counted,Dead Counted,Viable Counted,Viability,Average Viable Cell Size,Average Dead Cell Size,Sensitivity,Min Cell Size,Max Cell Size,Circularity Parameters
,2017.03.28 17:25,7.9E6,7.9E6,7.0E4,1573,13,1560,99%,10.8,6.4,90.0000,8,50,85
,2017.03.28 17:27,5.6E6,5.5E6,7.0E4,1105,14,1091,99%,10.9,6.8,90.0000,8,50,85
,2017.03.28 17:28,5.4E6,5.4E6,6.0E4,1075,12,1063,99%,10.5,5.8,90.0000,8,50,85
,2017.03.28 17:29,4.2E6,4.1E6,9.0E4,839,17,822,98%,11.0,6.8,90.0000,8,50,85
,2017.03.30 09:39,1.3E6,1.2E6,1.0E5,256,20,236,92%,11.9,8.1,90.0000,8,50,85
,2017.03.30 09:41,2.0E6,1.8E6,2.5E5,402,49,353,88%,12.2,9.5,90.0000,8,50,85
,2017.03.30 09:42,1.9E6,1.5E6,4.0E5,375,80,295,79%,11.7,6.7,90.0000,8,50,85
,2017.03.30 09:45,1.4E6,1.0E6,3.7E5,280,73,207,74%,11.8,7.3,90.0000,8,50,85
,2017.03.30 09:47,7.4E5,5.7E5,1.6E5,146,32,114,78%,11.3,6.7,90.0000,8,50,85
,2017.03.30 09:48,1.1E6,8.7E5,2.7E5,226,54,172,76%,12.1,6.6,90.0000,8,50,85
,2017.03.30 09:50,1.5E6,1.2E6,3.1E5,300,62,238,79%,11.2,7.3,90.0000,8,50,85
,2017.03.30 09:52,1.3E6,9.7E5,3.0E5,253,60,193,76%,11.7,7.2,90.0000,8,50,85
,2017.03.30 09:53,1.9E6,1.4E6,5.0E5,375,100,275,73%,11.8,7.9,90.0000,8,50,85
,2017.03.30 09:54,1.5E6,1.0E6,4.6E5,290,92,198,68%,12.4,7.8,90.0000,8,50,85
,2017.03.30 09:55,1.3E6,9.7E5,3.3E5,257,65,192,75%,13.2,6.8,90.0000,8,50,85
,2017.03.30 09:57,1.3E6,1.0E6,3.2E5,264,63,201,76%,11.6,6.5,90.0000,8,50,85
,2017.03.30 10:01,1.1E6,7.3E5,4.1E5,226,82,144,64%,12.1,7.7,90.0000,8,50,85
,2017.03.30 10:03,1.3E6,9.8E5,3.4E5,262,68,194,74%,11.6,6.6,90.0000,8,50,85
,2017.03.30 10:05,1.4E6,1.1E6,2.7E5,272,54,218,80%,11.7,6.8,90.0000,8,50,85
,2017.03.30 10:07,1.2E6,7.9E5,3.7E5,231,74,157,68%,12.1,7.8,90.0000,8,50,85
,2017.04.05 13:19,4.8E6,4.7E6,1.2E5,963,24,939,98%,9.2,6.2,90.0000,8,50,85
,2017.04.05 13:20,4.7E6,4.6E6,1.3E5,932,25,907,97%,9.7,7.0,90.0000,8,50,85
,2017.04.05 13:21,3.8E6,3.7E6,1.0E5,755,20,735,97%,9.7,6.8,90.0000,8,50,85
,2017.04.05 13:22,3.8E6,3.7E6,9.0E4,754,18,736,98%,9.7,6.5,90.0000,8,50,85
,2017.04.08 13:41,4.5E5,2.2E5,2.3E5,90,46,44,49%,13.0,8.7,90.0000,8,50,85
,2017.04.08 13:45,1.6E6,2.6E5,1.4E6,327,276,51,16%,19.8,11.3,90.0000,8,50,85
,2017.04.08 13:51,5.3E5,3.1E5,2.2E5,105,44,61,58%,11.0,6.8,90.0000,8,50,85
,2017.04.08 13:53,5.7E5,3.7E5,2.0E5,114,40,74,65%,11.1,6.5,90.0000,8,50,85
,2017.04.08 13:59,2.0E6,5.6E5,1.4E6,391,279,112,29%,18.2,11.4,90.0000,8,50,85
,2017.04.08 14:00,2.0E6,5.8E5,1.4E6,401,286,115,29%,19.7,11.6,90.0000,8,50,85
,2017.04.08 14:05,1.6E6,8.7E5,7.4E5,320,147,173,54%,15.8,11.4,90.0000,8,50,85
,2017.04.08 14:09,1.8E6,8.0E5,1.0E6,360,202,158,44%,16.1,12.7,90.0000,8,50,85
,2017.04.08 14:11,1.3E6,2.6E5,1.0E6,258,207,51,20%,15.5,10.3,90.0000,8,50,85
,2017.04.08 14:13,1.3E6,1.1E6,2.0E5,258,39,219,85%,13.9,13.3,90.0000,8,50,85
,2017.04.08 14:16,1.1E6,1.0E6,7.0E4,212,14,198,93%,16.5,7.6,90.0000,8,50,85
,2017.04.08 14:25,2.3E5,2.1E5,3.0E4,46,5,41,89%,12.3,16.4,90.0000,8,50,85
,2017.04.08 14:27,1.2E6,1.1E6,9.0E4,238,18,220,92%,15.4,10.1,90.0000,8,50,85
,2017.04.08 14:29,5.7E5,4.9E5,9.0E4,114,17,97,85%,14.9,8.8,90.0000,8,50,85
,2017.04.08 14:30,3.0E5,2.0E5,1.1E5,60,21,39,65%,13.8,17.3,90.0000,8,50,85
,2017.04.08 14:33,1.7E6,1.6E6,1.2E5,331,23,308,93%,14.8,9.3,90.0000,8,50,85
,2017.04.08 14:34,1.5E6,1.3E6,2.6E5,302,52,250,83%,14.9,11.3,90.0000,8,50,85
,2017.04.08 14:43,9.7E5,8.8E5,9.0E4,192,18,174,91%,14.3,10.4,90.0000,8,50,85
,2017.04.08 14:45,9.5E5,8.7E5,8.0E4,188,15,173,92%,13.8,13.4,90.0000,8,50,85
,2017.04.08 14:51,1.5E6,1.4E6,1.1E5,299,21,278,93%,16.6,13.6,90.0000,8,50,85
,2017.04.08 14:53,1.3E6,1.2E6,1.1E5,251,22,229,91%,16.3,11.3,90.0000,8,50,85
,2017.04.08 14:56,5.3E5,4.0E5,1.3E5,106,26,80,75%,13.4,16.2,90.0000,8,50,85
,2017.04.08 15:01,7.9E5,6.2E5,1.6E5,156,32,124,79%,15.1,18.3,90.0000,8,50,85
,2017.04.08 15:07,2.7E5,2.5E5,2.0E4,54,4,50,93%,13.2,18.0,90.0000,8,50,85
,2017.04.08 15:10,7.9E5,7.0E5,9.0E4,156,17,139,89%,16.9,14.0,90.0000,8,50,85
,2017.04.08 15:12,1.5E5,1.3E5,2.0E4,29,3,26,90%,12.6,4.5,90.0000,8,50,85
,2017.04.08 15:19,1.8E5,1.6E5,2.0E4,36,4,32,89%,13.8,15.3,90.0000,8,50,85
,2017.04.08 15:21,1.2E6,1.2E6,6.0E4,243,11,232,95%,15.1,7.4,90.0000,8,50,85
,2017.04.08 15:29,6.9E5,6.2E5,8.0E4,138,15,123,89%,15.2,8.5,90.0000,8,50,85
,2017.04.08 15:31,4.3E5,4.1E5,2.0E4,85,3,82,96%,13.8,5.7,90.0000,8,50,85
